# Crossword Dictionary
# Format: WORD|Clue|Hint
CAT|A small furry pet|It meows
MIRROR|A reflective surface|Shows your reflection
MODERN|Current or contemporary|Up to date
MOMENT|A very brief time|Short instant
MURDER|The crime of killing|Illegal killing
MUSCLE|A tissue producing movement|Body strength
NARROW|Of small width|Not wide
NATION|A large community|Country and state
NATURE|The natural world|Plants and animals
NEARBY|Not far away|Close in distance
NEEDLE|A thin pointed sewing tool|Used for stitching
NORMAL|Conforming to a standard|Usual and typical
NOTICE|To become aware|Observe and see
OBJECT|A physical thing|Material item
OBTAIN|To get or acquire|Come to possess
OCCUPY|To live in or fill|Take up space
OFFICE|A room for work|Professional workspace
OFFICER|A person in authority|Police or military
ONLINE|Connected to internet|Digital access
ORANGE|A citrus fruit|Also a colour
ORIGIN|The beginning or source|Starting point
PALACE|An official residence|Royal home
PARENT|A mother or father|Raises children
PEOPLE|Human beings|Group of persons
PERMIT|To allow or a licence|Give permission
PERSON|An individual human|Single human being
PHRASE|A group of words|Short expression
PLANET|A large celestial body|Orbits the sun
PLEASE|To give satisfaction|Make happy
PLEDGE|A solemn promise|Binding commitment
POCKET|A small bag in clothing|Holds small items
POLICE|A law enforcement force|Keeps order
POLICY|A plan of action|Official guidelines
POORLY|In bad health|Feeling unwell
PORTAL|A doorway or entry point|Gateway access
PREFER|To like better|First choice
PRINCE|A son of a king|Royal male heir
PRISON|A place of confinement|Criminals are here
PROFIT|Financial gain|Revenue over costs
PROPER|Correct and appropriate|Right and suitable
PROVEN|Demonstrated to be true|Verified fact
PUBLIC|Relating to people|Open to all
PURPLE|A colour between red and blue|Royal colour
PUZZLE|A problem requiring ingenuity|Brain teaser
RABBIT|A small furry animal|Hops around
RACING|Competing in speed|Fast competition
RANDOM|Made without pattern|No particular order
RARELY|Not very often|Seldom happens
REASON|A cause or explanation|Logical basis
RECENT|Happening not long ago|Just occurred
RECORD|To write down or best result|Data stored
REDUCE|To make smaller|Decrease amount
REFORM|To improve by change|Modify for better
REMAIN|To stay in place|Continue to be
REMOTE|Far from others|Distant location
REPAIR|To fix something|Restore function
REPEAT|To say or do again|Do once more
RESCUE|To save from danger|Help escape
RESIST|To oppose or withstand|Fight against
RESULT|An outcome|End consequence
RETURN|To come back|Go back again
REVEAL|To make known|Show and expose
REVIEW|An evaluation|Critical assessment
REWARD|Something given for merit|Prize for achievement
RHYTHM|A regular pattern|Musical beat
RISING|Moving upward|Going higher
ROCKET|A vehicle propelled by jets|Goes to space
RUBBER|An elastic material|Made from trees
RUMBLE|A continuous low sound|Deep growling noise
SAFETY|Freedom from danger|Protected state
SAMPLE|A small part taken|Example portion
SAVING|Preserving or setting aside|Keeping for future
SCHOOL|An institution for learning|Children study here
SCREEN|A flat display surface|Shows images
SEASON|One of four periods of year|Spring summer autumn winter
SECRET|Something kept hidden|Private information
SEEING|Using the sense of sight|Visual perception
SENIOR|Higher in rank or older|Above junior level
SERIES|A number in order|Sequential set
SETTLE|To establish or resolve|Come to rest
SILVER|A precious grey metal|Second to gold
SIMPLE|Easy to understand|Not complicated
SINGLE|Only one|Not multiple
SISTER|A female sibling|Same parents girl
SLIGHT|Small in degree|Minor and trivial
SOCIAL|Relating to society|Community based
SOFTEN|To make less hard|Reduce hardness
SOLDIER|A member of army|Military person
SOURCE|The origin of something|Starting point
SPEECH|Spoken language|Verbal communication
SPIRIT|The non physical part|Soul and essence
SPRING|Season after winter|New growth season
STABLE|Not likely to change|Firm and steady
STATUS|Social or professional position|Standing in society
STOLEN|Taken without permission|Theft occurred
STREET|A public road in town|Urban road
STRESS|A state of mental strain|Pressure and tension
STRICT|Demanding exact rules|No flexibility
STRONG|Having great power|Powerful and tough
STUDIO|A room for creative work|Artist workspace
STUPID|Lacking intelligence|Foolish and dull
SUBMIT|To yield or present|Hand in work
SUDDEN|Happening unexpectedly|Without warning
SUFFER|To experience pain|Endure hardship
SUMMER|The warmest season|Hot weather time
SUPPLY|To provide what is needed|Stock and provide
SYMBOL|Something representing something|Sign and emblem
SYSTEM|A set of connected parts|Organised structure
TARGET|An aim or goal|Object to hit
THEORY|A set of ideas|Explanatory system
THOUGH|Despite the fact|In spite of
THREAT|A warning of harm|Dangerous warning
TICKET|A piece of paper granting access|Entry pass
TIMBER|Wood used for building|Construction material
TISSUE|Soft thin paper or body tissue|Delicate material
TONGUE|The organ in mouth|Used for tasting
TRAVEL|To go from place to place|Journey and voyage
TROPHY|An award for winning|Winner receives this
TUNNEL|An underground passage|Goes through ground
TWELVE|The number 12|One dozen
UNABLE|Not able to do|Lacking capability
UNIQUE|One of a kind|Nothing like it
UNLESS|Except on condition|If not the case
UPDATE|To make current|Refresh information
USEFUL|Having practical value|Comes in handy
VALLEY|Low land between hills|Below mountain peaks
VICTIM|A person harmed|Suffered from crime
VIEWER|A person who watches|Audience member
VILLAGE|A small community|Smaller than town
VIOLET|A purple blue colour|Also a flower
VIRTUE|A good moral quality|Positive character trait
VISION|The ability to see|Sight and foresight
VISUAL|Relating to sight|Can be seen
VOLUME|Amount of space or sound|Measure of capacity
WANDER|To walk without purpose|Roam freely
WEALTH|A large amount of money|Financial abundance
WEAPON|An instrument of attack|Used in combat
WEIGHT|The measure of heaviness|How heavy something is
WINDOW|An opening in a wall|Lets in light
WINNER|A person who wins|First place person
WINTER|The coldest season|Snow and ice time
WISDOM|The quality of being wise|Good judgement
WONDER|To feel curious|Amazement and awe
WORKER|A person who works|Employee in job
WORTHY|Deserving of respect|Meriting something
YELLOW|A bright warm colour|Colour of sunflowers
ABILITY|The power to do something|Skill and talent
ACADEMY|A school or society|Educational institution
ACCOUNT|A record of money|Financial record
ACHIEVE|To successfully accomplish|Reach a goal
ADDRESS|The location of a building|Where you live
ADVANCE|To move forward|Progress ahead
ADVISOR|A person who gives advice|Guidance provider
AGAINST|In opposition to|Opposing side
ANCIENT|Very old|From long ago
ANOTHER|One more|Additional one
ANXIETY|Feeling of worry|Nervous tension
ATTEMPT|To try to do|Make an effort
BALANCE|An even distribution|Equilibrium state
BARRIER|Something blocking progress|Obstacle in way
BECAUSE|For the reason that|Explaining why
BELIEVE|To accept as true|Have faith in
BENEFIT|An advantage gained|Positive outcome
BETWEEN|In the space separating|In the middle of
CAPTURE|To take prisoner|Catch and hold
CAREFUL|Taking great care|Cautious action
CAUSING|Bringing about|Making happen
CERTAIN|Known for sure|Definitely true
CHAPTER|A section of a book|Division of text
CITIZEN|A member of a country|National person
CLIMATE|The weather of a region|Long term weather
COMFORT|A state of ease|Relaxed feeling
COMMAND|An authoritative order|Direct instruction
COMPLEX|Having many parts|Not simple
CONCERN|To worry or relate to|Matter of interest
CONDUCT|The way one behaves|Manner of acting
CONNECT|To join together|Link and attach
CONTEXT|The circumstances|Surrounding situation
CONTROL|To direct or manage|Have power over
CORRECT|Free from error|Right and accurate
COUNTRY|A nation|Political territory
COURAGE|Bravery in danger|Fearless action
CULTURE|The arts and social customs|Civilisation ways
CURRENT|Belonging to present time|Right now
DECIDED|Made a decision|Reached conclusion
DEFAULT|A failure to act|Standard setting
DEFENCE|Protection from attack|Shield from harm
DELIGHT|Great pleasure|Joyful happiness
DELIVER|To take to a destination|Bring something
DESPITE|Without being affected|In spite of
DEVELOP|To grow or improve|Progress forward
DIGITAL|Relating to computers|Electronic form
DISCUSS|To talk about|Examine in conversation
DISTANT|Far away|Not nearby
DISTURB|To interrupt peace|Cause disruption
DRAWING|A picture made with pencil|Artistic sketch
DYNASTY|A series of rulers|Family rule period
EXAMINE|To inspect carefully|Look at closely
EXAMPLE|A thing that represents|Illustrative case
EXCLUDE|To leave out|Not include
EXPLORE|To travel to discover|Search and investigate
EXPRESS|To convey in words|Show and tell
EXTREME|The furthest degree|Maximum intensity
FAILURE|Lack of success|Not achieving goal
FANTASY|Imagined situations|Dream world
FEATURE|A distinctive aspect|Notable characteristic
FEELING|An emotion|Internal sensation
FICTION|Literature that is invented|Made up story
FINALLY|At the end|Last of all
FOREIGN|From another country|Not domestic
FOREVER|For all time|Eternally lasting
FORMULA|A set method|Mathematical rule
FORWARD|Towards the front|Ahead direction
FREEDOM|The state of being free|Liberty and rights
GENERAL|Relating to all|Broad and wide
GENUINE|Truly what it appears|Real and authentic
GETTING|Coming to have|Receiving something
HISTORY|Past events|Record of the past
HORIZON|The line where sky meets earth|Distant boundary
HUNTING|Pursuing animals|Wildlife tracking
IMAGINE|To form a mental image|Think creatively
INCLUDE|To comprise as part|Take in everything
INSPIRE|To fill with enthusiasm|Motivate others
INSTANT|Happening immediately|Without delay
INSTEAD|As an alternative|In place of
INTENSE|Very strong|Extreme degree
INVOLVE|To include as part|Make part of
JOURNEY|Travel from one place to another|Trip and voyage
KEEPING|Retaining possession|Holding onto
KITCHEN|A room for cooking|Where meals are made
KNOWING|Having knowledge|Being aware of
LABELED|Marked with a label|Identified clearly
LEADING|Going first|Being in front
LIBRARY|A place with books|Books kept here
LIMITED|Restricted in amount|Not unlimited
MACHINE|A mechanical device|Powered by engine
MEDICAL|Relating to medicine|Health related
MEETING|A gathering of people|Come together
MESSAGE|A communication|Information passed
MILLION|The number 1000000|Very large number
MISSING|Not present|Cannot be found
MIXTURE|A combination of things|Blend of elements
MORNING|The early part of day|Before midday
NATURAL|Existing in nature|Not artificial
NETWORK|A system of connections|Linked together
NOWHERE|Not in any place|No location
NURSING|Caring for sick people|Medical care
OBVIOUS|Easily seen|Plain to see
OPINION|A personal view|Point of view
OUTSIDE|The external area|Not inside
PASSION|Strong emotion|Intense feeling
PATIENT|Able to wait calmly|Medical person too
PATTERN|A repeated design|Regular arrangement
PERFECT|Having no flaws|Without error
PERHAPS|It may be|Possibly true
PICTURE|A visual image|Photo or painting
POPULAR|Liked by many|Widely favoured
PRESENT|Being here now|Current moment
PREVENT|To stop from happening|Block occurrence
PROBLEM|A difficult matter|Issue to solve
PROCESS|A series of actions|Steps to follow
PRODUCE|To make or create|Bring into being
PROJECT|A planned undertaking|Organised task
PROTECT|To keep safe|Guard from harm
PROVIDE|To supply something|Give what needed
PURPOSE|The reason for something|Why it exists
QUALITY|The standard of something|Level of excellence
QUICKLY|At fast speed|In rapid manner
REALITY|The state of things as they are|True existence
RECEIVE|To be given something|Get and accept
REQUIRE|To need|Make necessary
RESOLVE|To settle a problem|Find a solution
RESPECT|Admiration for someone|Hold in esteem
RESTORE|To bring back|Return to original
RESULTS|Outcomes of actions|End products
SECTION|A distinct part|Division of whole
SERIOUS|Demanding careful thought|Important matter
SERVICE|The action of helping|Work done for others
SHARING|Giving a portion to others|Dividing equally
SILENCE|Complete absence of sound|Total quiet
SIMILAR|Nearly the same|Almost alike
SOCIETY|People living together|Community group
SOLDIER|A person in army|Military fighter
SOMEONE|A particular person|Individual person
SPECIES|A group of living things|Biological category
STATION|A place where trains stop|Transport hub
STAYING|Remaining in place|Not leaving
STRANGE|Unusual or odd|Out of ordinary
SUBJECT|A topic or person|Area of study
SUCCESS|Achievement of goal|Positive outcome
SUGGEST|To put forward|Propose an idea
SUPPORT|To hold up or assist|Give backing to
SUPPOSE|To assume to be true|Think it might be
SURFACE|The outside layer|Top or outer part
SURVIVE|To continue to live|Remain alive
TEACHER|A person who teaches|Educator in school
TELLING|Revealing or narrating|Passing on information
TENSION|Mental or physical strain|Tightness and stress
THROUGH|From one end to other|All the way across
TONIGHT|This present night|This evening
TOTALLY|Completely|One hundred percent
TOWARDS|In the direction of|Moving to
TRADING|Buying and selling|Commercial exchange
TRAFFIC|Vehicles on roads|Movement of cars
TRAINED|Having received training|Prepared and ready
TROUBLE|Difficulty or danger|Problem and worry
TYPICAL|Characteristic of a type|Normal and usual
UNKNOWN|Not known|Mysterious entity
UNUSUAL|Not common|Out of ordinary
UPGRADE|To raise to higher standard|Improve quality
USUALLY|In most cases|Normally happens
VICTORY|Success in competition|Winning result
VILLAGE|A small settlement|Rural community
VIOLENT|Using physical force|Aggressive action
VISIBLE|Able to be seen|In plain sight
WARNING|A statement of danger|Advance notice
WEATHER|Atmospheric conditions|Climate daily state
WHETHER|Expressing doubt|If this or that
WITHOUT|Not having|Lacking something
YOUNGER|Less old|Not as old
ABSOLUTE|Complete and total|Without limit
ABSTRACT|Existing as idea|Not concrete
ACCIDENT|An unexpected event|Unplanned occurrence
ACCURATE|Correct and exact|Without error
ACHIEVED|Successfully done|Goal reached
ACTIVITY|A thing done|Action taken
ADDITION|The act of adding|Extra element
ADEQUATE|Satisfactory for purpose|Good enough
AMBITION|A strong desire to succeed|Goal and drive
ANALYSIS|Detailed examination|Careful study
ANNOUNCE|To make known publicly|Public declaration
ANYTHING|Whatever thing|No restriction
ARGUMENT|A reason or disagreement|Debate and dispute
ATTITUDE|A way of thinking|Mental position
AUDIENCE|A group of listeners|People watching
BACKBONE|The spine|Central support
BALANCED|Even and stable|Equal on both sides
BARRIERS|Things blocking progress|Obstacles ahead
BEAUTIFUL|Pleasing to senses|Attractive appearance
BECOMING|Starting to be|In the process of
BIRTHDAY|The day of birth|Annual celebration
BUILDING|A structure|Constructed place
BUSINESS|Commercial activity|Trade and commerce
CALENDAR|A chart of dates|Days of year
CAMPAIGN|An organised effort|Planned operation
CAPACITY|The maximum amount|Total ability
CATCHING|Intercepting something|Grabbing and holding
CATEGORY|A class of things|Group classification
CHANGING|Becoming different|Undergoing change
CHARACTER|A person in story|Fictional individual
CHILDREN|Young people|Sons and daughters
CHOOSING|Making a selection|Picking an option
CIRCULAR|In the shape of circle|Round and looped
CLIMBING|Going upward|Ascending movement
COLLAPSE|To fall down|Suddenly give way
COMPLETE|Having all parts|Finished and whole
COMPOUND|A combination|Mixed together
COMPUTER|An electronic device|Digital machine
CONCRETE|A building material|Also specific idea
CONFLICT|A serious disagreement|Battle and struggle
CONSIDER|To think carefully|Give thought to
CONSTANT|Unchanging|Always the same
CONTINUE|To carry on|Keep going forward
CONTRACT|A legal agreement|Binding document
CONVINCE|To persuade|Change someone mind
COVERING|Placing over something|Hiding underneath
CREATIVE|Having imagination|Inventive thinking
CRIMINAL|A person who commits crime|Law breaker
CULTURAL|Relating to culture|Social and artistic
DARKNESS|Absence of light|No light present
DAUGHTER|A female child|Parents girl child
DEADLINE|A time limit|Final cut off point
DECISION|A conclusion reached|Choice made
DECREASE|To become smaller|Reduce in size
DELIVERY|The act of delivering|Bringing to place
DESCRIBE|To give account of|Explain in detail
DETAILED|Having many details|Thorough account
DIFFERENT|Not the same|Unlike the other
DIRECTLY|In straight manner|Without deviation
DISASTER|A sudden calamity|Great catastrophe
DISCOVER|To find something|Come across new
DISTANCE|The length between points|How far apart
DISTRACT|To divert attention|Take focus away
DOCUMENT|An official paper|Written record
DOMINANT|Most important|Having most power
DRAMATIC|Exciting and impressive|Theatrical effect
DWELLING|A place to live|Home and residence
ECONOMIC|Relating to economy|Financial system
EDUCATED|Having received education|Knowledgeable person
ELECTION|A formal vote|Democratic process
ELEMENTS|Basic components|Fundamental parts
EMERGING|Coming into view|Becoming apparent
EMPHASIS|Special importance|Stress on point
ENORMOUS|Very large|Extremely big
ENTRANCE|A way in|Entry point
EQUALITY|State of being equal|Same rights for all
EVALUATE|To assess|Judge the value of
EVIDENCE|Available proof|Supporting facts
EXPECTED|Thought likely|Anticipated outcome
EXPLICIT|Clearly stated|Direct and clear
EXTENDED|Made longer|Stretched further
FAITHFUL|Loyal and steadfast|Reliable and true
FAMILIAR|Well known|Recognised easily
FAVORITE|Most liked thing|Top preference
FINISHED|Completed|Brought to end
FLEXIBLE|Able to bend|Adaptable nature
FORTUNATE|Lucky and blessed|Having good luck
FUNCTION|Purpose or activity|What it does
GENERATE|To produce|Create and make
GENEROUS|Willing to give|Giving freely
GRADUALLY|Slowly over time|Step by step
GRATEFUL|Thankful|Appreciating kindness
GREATEST|Most excellent|Best of all
GUIDANCE|Advice and direction|Leading someone
HAPPENED|Took place|Occurred in past
HARDWARE|Physical computer parts|Tangible equipment
HERITAGE|Something inherited|Cultural legacy
HIGHLIGHT|To draw attention to|Mark as important
HISTORIC|Important in history|Significant past
HUMANITY|Human beings collectively|All people together
IDENTIFY|To recognise|Determine what it is
IMAGINED|Formed in mind|Thought up creatively
IMMINENT|About to happen|Coming very soon
IMPROVED|Made better|Enhanced quality
INFORMED|Having knowledge|Well educated
INNOCENT|Not guilty|Free from wrongdoing
INTERACT|To communicate|Act on each other
INTEREST|Curiosity or money paid|Attention given
ISOLATED|Far from others|Separated and alone
JUDGMENT|An opinion formed|Critical assessment
LANGUAGE|A system of communication|How we speak
LEARNING|Gaining knowledge|Education process
LOCATION|A particular place|Where something is
MAGNETIC|Having properties of magnet|Attracting metal
MAINTAIN|To keep in good condition|Preserve and uphold
MAJORITY|More than half|Most of the group
MEANINGS|What words stand for|Significance given
MOUNTAIN|A large natural elevation|Higher than a hill
MOVEMENT|The act of moving|Motion and change
MULTIPLE|More than one|Several instances
NEGATIVE|Harmful or refusing|Not positive
OBSTACLE|Something blocking way|Hindrance to progress
OCCURRED|Happened or took place|Came about
OFFENSIVE|Attacking or hurtful|Causing offence
OFFICIAL|Relating to authority|Formally approved
ORDINARY|With no special features|Normal and usual
ORIGINAL|Existing from the start|First version
OUTCOME|A result or consequence|End result
OVERCOME|To succeed against|Get past a challenge
PATIENCE|Ability to wait calmly|Calm endurance
PEACEFUL|Free from disturbance|Calm and quiet
PHYSICAL|Relating to body|Bodily and material
PLEASURE|A feeling of happiness|Enjoyable experience
POSITION|A place or rank|Location or status
POSSIBLE|Able to happen|Within capability
POWERFUL|Having great power|Strong and forceful
PRACTICE|Repeated exercise|Regular training
PRESSURE|A force applied|Weight and stress
PRIORITY|Something most important|First in order
PROBABLY|Very likely|Almost certain
PROGRESS|Forward movement|Advancing ahead
PROPERTY|Something owned|Possession and land
PROVIDED|Supplied and given|Made available
QUESTION|A sentence seeking answer|Inquiry made
RATIONAL|Based on reason|Logical thinking
REACTION|A response to event|Reply to stimulus
RECENTLY|Not long ago|Just happened
REMEMBER|To recall|Bring back to mind
REPEATED|Done more than once|Occurring again
REQUIRED|Needed|Made necessary
RESPONSE|A reply|Answer to question
SECURITY|State of being protected|Safety and safety
SELECTED|Chosen from options|Picked out
SEQUENCE|A particular order|Step by step order
SHORTAGE|An insufficient supply|Not enough of
SHOULDER|The joint connecting arm|Body joint above arm
SIMPLIFY|To make easier|Reduce complexity
SITUATED|Located in place|Positioned somewhere
SOLUTION|A means of solving|Answer to problem
SPECIFIC|Particular and exact|Clearly defined
STARTING|Beginning an action|Setting off
STRENGTH|The quality of being strong|Power and force
SUPERIOR|Higher in rank|Better than others

# Themed entries - animals
DOG|A loyal domestic animal|Man's best friend|animals
CAT|A small pet animal|Loves to chase mice|animals
HORSE|A fast running animal|Used for riding|animals
ELEPHANT|The largest land animal|Has a trunk|animals
MONKEY|A playful primate|Climbs trees|animals
BEAR|A large furry animal|Loves honey|animals
FOX|A clever wild animal|Has a bushy tail|animals
GOAT|A farm animal|Eats grass|animals
SHEEP|A woolly farm animal|Gives wool|animals
COW|A domestic animal|Gives milk|animals
PIG|A farm animal|Likes mud|animals
RABBIT|A small hopping animal|Long ears|animals
SNAKE|A legless reptile|Slithers|animals
LIZARD|A small reptile|Climbs walls|animals
TURTLE|A slow reptile|Has a shell|animals
CROCODILE|A large reptile|Lives in water|animals
DOLPHIN|A smart sea animal|Jumps in water|animals
OCTOPUS|An eight-armed sea animal|Very intelligent|animals
CRAB|A sea creature|Walks sideways|animals
PEACOCK|A colorful bird|National bird of India|animals
SPARROW|A small bird|Common in cities|animals
OWL|A night bird|Big eyes|animals
BAT|A flying mammal|Active at night|animals
KANGAROO|An Australian animal|Jumps with pouch|animals
KOALA|An Australian animal|Eats eucalyptus|animals
LEOPARD|A spotted big cat|Fast predator|animals
HYENA|A scavenger animal|Laugh-like sound|animals
ANT|A tiny insect|Works in groups|animals
BEE|An insect|Makes honey|animals
BUTTERFLY|A colorful insect|Has wings|animals

# Themed entries - space
EARTH|Our home planet|Supports life|space
SUN|The center star|Gives light|space
ASTEROID|A rocky object|Orbits sun|space
COSMOS|The universe|Everything in space|space
ALIEN|A being from space|Extraterrestrial|space
ROVER|A space vehicle|Explores planets|space
ASTRONAUT|A space traveler|Works in space|space
TELESCOPE|A viewing device|Observes stars|space
GRAVITY|Force of attraction|Keeps planets in orbit|space
ECLIPSE|Shadow event|Sun or moon hidden|space
SPACESHIP|A vehicle for space|Carries astronauts|space
LAUNCH|To send into space|Rocket action|space
BLACKHOLE|A dense region|Nothing escapes|space
SATELLITE|An object in orbit|Man-made or natural|space
UNIVERSE|All of space|Everything exists|space
MILKYWAY|Our galaxy|Contains Earth|space
PLANET|A celestial body|Orbits a star|space
DUST|Space particles|Found in nebula|space
LIGHTYEAR|Distance unit|Used in space|space
ASTRONOMY|Study of space|Science field|space
ORBITAL|Relating to orbit|Circular motion|space
SPACETIME|Concept of physics|Time and space|space
COSMIC|Relating to universe|Space-related|space
VOID|Empty space|Nothing inside|space
EXOPLANET|Planet outside solar system|Orbits other stars|space
RADIATION|Energy waves|From space|space
QUASAR|Bright distant object|Active galaxy core|space
GALILEO|Famous astronomer|Studied space|space
HUBBLE|Space telescope|Takes images|space
PROBE|Unmanned spacecraft|Collects data|space

# Themed entries - food
BURGER|A fast food item|Has a bun|food
FRIES|Fried potato sticks|Crispy snack|food
NOODLES|Long thin pasta|Asian dish|food
RICE|Staple food|Common in Asia|food
DAL|Lentil dish|Indian food|food
IDLI|Steamed rice cake|South Indian|food
DOSA|Thin crispy dish|Made from batter|food
SAMOSA|Fried snack|Triangle shape|food
CHOCOLATE|Sweet treat|Made from cocoa|food
ICECREAM|Frozen dessert|Cold and sweet|food
JUICE|Fruit drink|Healthy beverage|food
MILK|Dairy drink|Rich in calcium|food
TEA|Hot beverage|Popular drink|food
COFFEE|Caffeinated drink|Keeps you awake|food
EGG|Protein-rich food|Used in breakfast|food
CHICKEN|Meat food|Popular protein|food
FISH|Seafood item|Rich in omega|food
APPLE|A common fruit|Keeps doctor away|food
BANANA|Yellow fruit|Rich in potassium|food
GRAPES|Small fruits|Used for wine|food
ORANGE|Citrus fruit|Rich in vitamin C|food
POTATO|A root vegetable|Used in fries|food
TOMATO|A red vegetable|Used in salads|food
ONION|A pungent vegetable|Used in cooking|food
GARLIC|A strong flavoring|Used in dishes|food
SPICE|Adds flavor|Used in cooking|food
SALT|Enhances taste|White crystals|food
PEPPER|Adds heat|Black spice|food
CAKE|Sweet baked dish|Birthday treat|food
BISCUIT|A crunchy snack|Tea-time food|food

# Themed entries - sports
CRICKET|Popular sport in India|Uses bat and ball|sports
HOCKEY|A stick sport|Played on field|sports
BASKETBALL|A hoop game|Dribble and shoot|sports
VOLLEYBALL|Net sport|Hit the ball|sports
BADMINTON|Racket sport|Uses shuttlecock|sports
KABADDI|Indian sport|Tag game|sports
WRESTLING|Combat sport|Uses strength|sports
ARCHERY|Bow sport|Shoots arrows|sports
CYCLING|Riding sport|Uses bicycle|sports
RUNNING|Track sport|Fast movement|sports
JAVELIN|Throwing sport|Olympic event|sports
SHOTPUT|Throw heavy ball|Strength sport|sports
SKATING|Gliding sport|On wheels|sports
SURFING|Water sport|Ride waves|sports
ROWING|Boat sport|Uses oars|sports
DIVING|Water sport|Jump into pool|sports
CLIMBING|Adventure sport|Climb rocks|sports
SKIING|Snow sport|Slide on snow|sports
SNOWBOARD|Winter sport|Board on snow|sports
FENCING|Sword sport|Protective gear|sports
KARATE|Martial art|Self-defense|sports
JUDO|Combat sport|Throws opponent|sports
TAEKWONDO|Korean martial art|Uses kicks|sports
BASEBALL|Bat and ball sport|Popular in USA|sports
SOFTBALL|Similar to baseball|Larger ball|sports
HANDBALL|Ball sport|Use hands|sports
DARTS|Target game|Throw darts|sports
POOL|Cue sport|Balls on table|sports
CHESS|Mind sport|Strategy game|sports
LUDO|Board game|Dice-based|sports

# Themed entries - technology
TABLET|A handheld device|Touchscreen|technology
KEYBOARD|Input device|Used for typing|technology
MONITOR|Display screen|Shows output|technology
PRINTER|Output device|Prints documents|technology
SCANNER|Input device|Scans images|technology
SERVER|Powerful computer|Provides services|technology
CLIENT|User computer|Accesses server|technology
DATABASE|Stores data|Organized info|technology
SOFTWARE|Programs|Run on computers|technology
HARDWARE|Physical parts|Tangible components|technology
NETWORK|Connected systems|Share data|technology
INTERNET|Global network|Connects world|technology
BROWSER|Web tool|Access websites|technology
WEBSITE|Online page|On internet|technology
EMAIL|Digital mail|Send messages|technology
PASSWORD|Security key|Protects accounts|technology
ENCRYPT|Secure data|Convert code|technology
FIREWALL|Security system|Blocks threats|technology
HACKER|Security breaker|Access systems|technology
ALGORITHM|Step-by-step logic|Used in coding|technology
DEBUG|Fix errors|In programs|technology
COMPILE|Convert code|Machine readable|technology
UPLOAD|Send data online|To server|technology
DOWNLOAD|Receive data|From internet|technology
STREAM|Watch online|Live content|technology
AI|Artificial intelligence|Smart machines|technology
ML|Machine learning|Data-based learning|technology
DATA|Information|Used in systems|technology
CACHE|Temporary storage|Speeds up access|technology
BACKUP|Data copy|For safety|technology
